keyword_or_query_pattern,primary_intent,cluster_id,target_url,url_type,primary_keyword,secondary_keywords,canonical_owner,indexability,status
khách sạn chó mèo cần kiểm tra gì,COMMERCIAL_RESEARCH,HOTEL,/bai-viet/khach-san-cho-meo-can-kiem-tra-gi/,article,khách sạn chó mèo cần kiểm tra gì,checklist pet hotel; kiểm tra khách sạn thú cưng,YES,index,PUBLISHED
gửi chó khách sạn 5 ngày giá bao nhiêu,COMMERCIAL,HOTEL,/bai-viet/gui-cho-khach-san-5-ngay-gia-bao-nhieu/,article,gửi chó khách sạn 5 ngày giá bao nhiêu,chi phí gửi chó 5 ngày; pet hotel 5 ngày,YES,index,PUBLISHED
gửi chó khách sạn 10 ngày giá bao nhiêu,COMMERCIAL,HOTEL,/bai-viet/gui-cho-khach-san-10-ngay-gia-bao-nhieu/,article,gửi chó khách sạn 10 ngày giá bao nhiêu,chi phí gửi chó 10 ngày; pet hotel 10 ngày; ưu đãi lưu trú dài ngày,YES,index,PUBLISHED
mèo đi khách sạn cần mang gì,INFORMATIONAL,HOTEL,/bai-viet/meo-di-khach-san-can-mang-gi/,article,mèo đi khách sạn cần mang gì,checklist gửi mèo khách sạn; mèo đi pet hotel mang gì; chuẩn bị carrier cho mèo,YES,index,PUBLISHED
chó đi khách sạn bỏ ăn,INFORMATIONAL,HOTEL,/bai-viet/cho-di-khach-san-bo-an/,article,chó đi khách sạn bỏ ăn,chó gửi khách sạn không chịu ăn; chó stress ở pet hotel; chó ăn ít khi boarding,YES,index,PUBLISHED
chó sợ người lạ khi đi spa,INFORMATIONAL,BEHAVIOR,/bai-viet/cho-so-nguoi-la-khi-di-spa/,article,chó sợ người lạ khi đi spa,chó nhút nhát đi spa; chó stress khi grooming,YES,index,PUBLISHED
chó sợ máy sấy khi grooming,INFORMATIONAL,BEHAVIOR,/bai-viet/cho-so-may-say-khi-grooming/,article,chó sợ máy sấy khi grooming,chó sợ tiếng máy sấy; chó stress khi sấy lông,YES,index,PUBLISHED
tắm chó sau khi đi mưa,INFORMATIONAL,DOG_CARE,/bai-viet/tam-cho-sau-khi-di-mua/,article,tắm chó sau khi đi mưa,chó đi mưa về có cần tắm; làm khô chó sau mưa; chó bị ướt mưa,YES,index,PUBLISHED
cách giữ lông chó khô sạch tại nhà,INFORMATIONAL,DOG_CARE,/bai-viet/cach-giu-long-cho-kho-va-thom/,article,cách giữ lông chó khô sạch tại nhà,giữ lông chó khô; giữ lông chó sạch; chăm lông chó mùa ẩm,YES,index,PUBLISHED
cách vệ sinh tai chó an toàn,INFORMATIONAL,DOG_CARE,/bai-viet/cach-ve-sinh-tai-cho-an-toan/,article,cách vệ sinh tai chó an toàn,vệ sinh tai chó tại nhà; làm sạch tai chó; chăm sóc tai chó,YES,index,PUBLISHED
khi nào cần cắt móng chó,INFORMATIONAL,DOG_CARE,/bai-viet/khi-nao-can-cat-mong-cho/,article,khi nào cần cắt móng chó,dấu hiệu móng chó dài; bao lâu cắt móng chó; móng chó chạm sàn,YES,index,PUBLISHED
những vùng lông chó dễ bị rối,INFORMATIONAL,GROOMING,/bai-viet/nhung-vung-long-cho-de-bi-roi/,article,những vùng lông chó dễ bị rối,sau tai chó bị rối lông; nách chó rối lông; vùng lông chó hay bị rối,YES,index,PUBLISHED
tắm cạo lông chó giá bao nhiêu,COMMERCIAL,SPA,/bai-viet/tam-cao-long-cho-gia-bao-nhieu/,article,tắm cạo lông chó giá bao nhiêu,giá tắm cạo chó; tắm và cạo lông chó,YES,index,PUBLISHED
cắt tỉa lông chó giá bao nhiêu,COMMERCIAL,GROOMING,/bai-viet/cat-tia-long-cho-gia-bao-nhieu/,article,cắt tỉa lông chó giá bao nhiêu,giá cắt tỉa chó; tắm và cắt tỉa lông chó,YES,index,PUBLISHED
gỡ rối lông chó mèo khi nào cần,INFORMATIONAL,GROOMING,/bai-viet/go-roi-long-cho-meo-khi-nao-can/,article,gỡ rối lông chó mèo khi nào cần,rối lông chó mèo; khi nào cần gỡ rối lông,YES,index,PUBLISHED
tắm chó trước hay sau khi cắt tỉa,INFORMATIONAL_COMPARISON,GROOMING,/bai-viet/tam-cho-truoc-hay-sau-khi-cat-tia/,article,tắm chó trước hay sau khi cắt tỉa,thứ tự grooming chó; tắm trước hay cắt lông trước; quy trình tắm sấy cắt tỉa,YES,index,PUBLISHED
bảng giá spa / giá tắm chó mèo,COMMERCIAL,PRICE,/mimi/bang-gia-spa-thu-cung/,pricing,bảng giá spa thú cưng,giá tắm chó; giá tắm mèo; spa thú cưng giá bao nhiêu,YES,index,BUILD_LAUNCH
đặt lịch spa / book spa,TRANSACTIONAL,BOOK_SPA,/mimi/dat-lich/,tool,đặt lịch spa thú cưng,book spa chó mèo,YES,index,BUILD_LAUNCH
đặt phòng / book hotel thú cưng,TRANSACTIONAL,BOOK_HOTEL,/mimi/dat-phong/,tool,đặt phòng thú cưng,book khách sạn thú cưng,YES,index,BUILD_LAUNCH
lumi pet địa chỉ / số điện thoại,NAVIGATIONAL,CONTACT,/mimi/lien-he/,contact,lumi pet địa chỉ,lumi pet số điện thoại; lumi pet hotline,YES,index,BUILD_LAUNCH
lumi pet là ai / giới thiệu,INFORMATIONAL,ABOUT,/mimi/gioi-thieu/,about,lumi pet,lumi pet spa hotel,YES,index,BUILD_LAUNCH
