keyword,normalized_query,query_pattern,primary_intent,secondary_intent,entity_type,entity_name,topic,subtopic,modifier,audience,use_case,location,cluster_id,target_url,url_type,priority_tier,demand_evidence,serp_evidence_ref,source_ref,observed_at,verification_status,status
gửi chó mèo bình thạnh,gửi chó mèo bình thạnh,gửi chó mèo + location,LOCAL_TRANSACTIONAL,COMMERCIAL,service,Lưu trú chó mèo,Hotel,lưu trú,Bình Thạnh,pet owners,find boarding,Bình Thạnh,HOTEL,/mimi/khach-san-thu-cung-binh-thanh/,service,P1,Pet hotel demand/use-case,SERP-001;SERP-002,current SERP,2026-08-24,VERIFIED,RETAIN
khách sạn chó mèo cần kiểm tra gì,khách sạn chó mèo cần kiểm tra gì,question pet hotel checklist,COMMERCIAL_RESEARCH,INFORMATIONAL,question,Pet Hotel checklist,Hotel,pre-booking checklist,,pet owners,evaluate pet hotel,Bình Thạnh,HOTEL,/bai-viet/khach-san-cho-meo-can-kiem-tra-gi/,article,P1,Planned commercial-research content gap; no volume claimed,,content calendar + service cluster,2026-08-25,VERIFIED,PUBLISHED
gửi chó khách sạn 5 ngày giá bao nhiêu,gửi chó khách sạn 5 ngày giá bao nhiêu,question five day pet hotel cost,COMMERCIAL,TRANSACTIONAL,question,Pet Hotel five-day cost,Hotel,fixed-duration price,5 days,dog owners,plan five-day boarding cost,Bình Thạnh,HOTEL,/bai-viet/gui-cho-khach-san-5-ngay-gia-bao-nhieu/,article,P1,Planned fixed-duration Hotel pricing gap backed by first-party per-day tiers; no volume claimed,,content calendar + SRC-PRICE-HOTEL,2026-08-26,VERIFIED,PUBLISHED
gửi chó khách sạn 10 ngày giá bao nhiêu,gửi chó khách sạn 10 ngày giá bao nhiêu,question ten day pet hotel cost,COMMERCIAL,TRANSACTIONAL,question,Pet Hotel ten-day cost,Hotel,fixed-duration price,10 days,dog owners,plan ten-day boarding cost,Bình Thạnh,HOTEL,/bai-viet/gui-cho-khach-san-10-ngay-gia-bao-nhieu/,article,P1,Planned fixed-duration Hotel pricing gap backed by first-party per-day tiers and long-stay discount rules; no volume claimed,,content calendar + SRC-PRICE-HOTEL,2026-08-27,VERIFIED,PUBLISHED
mèo đi khách sạn cần mang gì,mèo đi khách sạn cần mang gì,question cat pet hotel packing,INFORMATIONAL,COMMERCIAL_RESEARCH,question,Cat Pet Hotel packing,Hotel,cat preparation,,cat owners,prepare cat for pet hotel,Bình Thạnh,HOTEL,/bai-viet/meo-di-khach-san-can-mang-gi/,article,P1,Planned cat-specific Hotel topical-authority gap; no volume claimed,,content calendar + hotel cluster,2026-08-28,VERIFIED,PUBLISHED
tắm chó sau khi đi mưa,tắm chó sau khi đi mưa,question dog after rain bath,INFORMATIONAL,COMMERCIAL_RESEARCH,question,Dog rainy-day care,Dog Care,rain and drying,,dog owners,decide whether to bathe dog after rain,Bình Thạnh,DOG_CARE,/bai-viet/tam-cho-sau-khi-di-mua/,article,P1,Planned seasonal problem-solution content gap; no search volume claimed,,content calendar + dog care cluster,2026-08-28,VERIFIED,PUBLISHED
tắm cạo lông chó giá bao nhiêu,tắm cạo lông chó giá bao nhiêu,question dog bath shave price,COMMERCIAL,TRANSACTIONAL,question,Dog bath and shave pricing,Spa,price by weight,,dog owners,compare bath shave price,Bình Thạnh,SPA,/bai-viet/tam-cao-long-cho-gia-bao-nhieu/,article,P1,Planned service-specific price content gap; first-party tier prices available; no volume claimed,,content calendar + SRC-PRICE-DOG,2026-08-26,VERIFIED,PUBLISHED
chó sợ máy sấy khi grooming,chó sợ máy sấy khi grooming,question dog afraid of grooming dryer,INFORMATIONAL,COMMERCIAL_RESEARCH,question,Grooming dryer anxiety,Grooming,behavior,,dog owners,reduce grooming dryer stress,Bình Thạnh,BEHAVIOR,/bai-viet/cho-so-may-say-khi-grooming/,article,P1,Planned problem-solution content gap; no volume claimed,,content calendar + grooming cluster,2026-08-26,VERIFIED,PUBLISHED
cách chải lông Poodle đúng,cách chải lông Poodle đúng,how to brush poodle coat,INFORMATIONAL,COMMERCIAL_RESEARCH,question,Poodle coat brushing,Poodle,coat care,,poodle owners,brush poodle coat safely,Bình Thạnh,POODLE,/bai-viet/cach-chai-long-poodle-dung/,article,P1,Planned breed-specific topical-authority gap; no search volume claimed,,content calendar + Poodle cluster,2026-08-29,VERIFIED,PUBLISHED
Poodle bao lâu nên grooming một lần,poodle bao lâu nên grooming một lần,question poodle grooming frequency,INFORMATIONAL,COMMERCIAL_RESEARCH,question,Poodle grooming frequency,Poodle,grooming schedule,,poodle owners,plan grooming cadence,Bình Thạnh,POODLE,/bai-viet/poodle-bao-lau-nen-grooming-mot-lan/,article,P1,Planned breed-specific topical-authority gap supported by current AKC grooming guidance; no search volume or KD claimed,AKC-POODLE-GROOMING-2026-09-02,current expert guidance + content calendar,2026-09-02,VERIFIED,PUBLISHED
mèo lông dài bị rối nên làm gì,mèo lông dài bị rối nên làm gì,question long-haired cat matting,INFORMATIONAL,COMMERCIAL_RESEARCH,question,Long-haired cat matting,Cat Care,coat matting,,cat owners,handle cat mats safely,Bình Thạnh,CAT_CARE,/bai-viet/meo-long-dai-bi-roi-nen-lam-gi/,article,P1,Planned cat-specific problem-solution content gap; no search volume claimed,,content calendar + cat care cluster,2026-08-29,VERIFIED,PUBLISHED
checklist trước khi đặt lịch spa chó mèo,checklist trước khi đặt lịch spa chó mèo,question spa booking checklist,COMMERCIAL_RESEARCH,TRANSACTIONAL,question,Spa booking checklist,Spa,pre-booking preparation,,pet owners,prepare information before spa booking,Bình Thạnh,SPA,/bai-viet/checklist-dat-lich-spa-cho-meo/,article,P1,Planned booking-support content gap; no search volume claimed,,content calendar + booking cluster,2026-08-30,VERIFIED,PUBLISHED
cách giữ lông chó khô sạch tại nhà,cách giữ lông chó khô sạch tại nhà,how to keep dog coat dry clean at home,INFORMATIONAL,COMMERCIAL_RESEARCH,question,Dog between-bath coat care,Dog Care,dry clean routine,,dog owners,keep dog coat dry clean between baths,Bình Thạnh,DOG_CARE,/bai-viet/cach-giu-long-cho-kho-va-thom/,article,P1,Planned problem-solution content gap; no search volume claimed,,content calendar + dog care cluster,2026-08-30,VERIFIED,PUBLISHED
chó đi khách sạn bỏ ăn,chó đi khách sạn bỏ ăn,question dog refuses food while boarding,INFORMATIONAL,COMMERCIAL_RESEARCH,question,Dog boarding appetite,Hotel,behavior and feeding,,dog owners,understand reduced appetite during boarding,Bình Thạnh,HOTEL,/bai-viet/cho-di-khach-san-bo-an/,article,P1,Planned Pet Hotel behavior and appetite topical-authority gap; no search volume claimed,,content calendar + current boarding guidance,2026-09-01,VERIFIED,PUBLISHED
bảng giá spa thú cưng,bảng giá spa thú cưng,bảng giá + spa pet,COMMERCIAL,TRANSACTIONAL,service,Spa thú cưng,Pricing,price,,pet owners,compare price,,PRICE,/mimi/bang-gia-spa-thu-cung/,pricing,P0,First-party complete dog/cat tiered price source,SRC-PRICE-DOG;SRC-PRICE-CAT,first-party posters,2026-08-24,VERIFIED,RETAIN
giá tắm chó,giá tắm chó,giá + tắm chó,COMMERCIAL,TRANSACTIONAL,service,Tắm chó,Pricing,dog spa,,dog owners,check price,,PRICE,/mimi/bang-gia-spa-thu-cung/,pricing,P1,First-party prices provide direct answer,SRC-PRICE-DOG,first-party poster,2026-08-24,VERIFIED,RETAIN
giá tắm mèo,giá tắm mèo,giá + tắm mèo,COMMERCIAL,TRANSACTIONAL,service,Tắm mèo,Pricing,cat spa,,cat owners,check price,,PRICE,/mimi/bang-gia-spa-thu-cung/,pricing,P1,First-party prices provide direct answer,SRC-PRICE-CAT,first-party poster,2026-08-24,VERIFIED,RETAIN
giá khách sạn thú cưng,giá khách sạn thú cưng,giá + pet hotel,COMMERCIAL,TRANSACTIONAL,service,Khách sạn thú cưng,Pricing,hotel,,pet owners,check boarding cost,,HOTEL,/mimi/khach-san-thu-cung-binh-thanh/,service,P1,First-party per-day tiers and long-stay discounts,SRC-PRICE-HOTEL,first-party poster,2026-08-24,VERIFIED,RETAIN
đặt lịch spa thú cưng,đặt lịch spa thú cưng,đặt lịch + spa pet,TRANSACTIONAL,LOCAL_TRANSACTIONAL,action,Đặt lịch Spa,Booking,spa booking,,pet owners,book appointment,Bình Thạnh,BOOK_SPA,/mimi/dat-lich/,tool,P0,Direct conversion action supported by current site,APP-BOOKING,first-party app,2026-08-24,VERIFIED,RETAIN
book spa chó mèo,book spa chó mèo,book spa + dog cat,TRANSACTIONAL,LOCAL_TRANSACTIONAL,action,Đặt lịch Spa,Booking,spa booking,,pet owners,book appointment,Bình Thạnh,BOOK_SPA,/mimi/dat-lich/,tool,P1,Same transactional intent as đặt lịch spa,APP-BOOKING,first-party app,2026-08-24,VERIFIED,RETAIN
đặt phòng thú cưng,đặt phòng thú cưng,đặt phòng + pet hotel,TRANSACTIONAL,LOCAL_TRANSACTIONAL,action,Đặt phòng Hotel,Booking,hotel booking,,pet owners,reserve pet hotel,Bình Thạnh,BOOK_HOTEL,/mimi/dat-phong/,tool,P0,Direct conversion action supported by hotel service,SRC-PRICE-HOTEL,first-party poster,2026-08-24,VERIFIED,RETAIN
spa thú cưng giá bao nhiêu,spa thú cưng giá bao nhiêu,question spa price,INFORMATIONAL,COMMERCIAL,question,Spa pricing,AEO,price question,,pet owners,get concise price answer,,PRICE,/mimi/bang-gia-spa-thu-cung/,pricing,P1,Answerable from first-party tiered price tables,SRC-PRICE-DOG;SRC-PRICE-CAT,first-party posters,2026-08-24,VERIFIED,RETAIN
gửi thú cưng trên 5 ngày giảm bao nhiêu,gửi thú cưng trên 5 ngày giảm bao nhiêu,question long stay discount,INFORMATIONAL,COMMERCIAL,question,Hotel discount,AEO,discount,,pet owners,calculate long stay discount,,HOTEL,/mimi/khach-san-thu-cung-binh-thanh/,service,P1,First-party hotel poster states >5 days 5%; >10 days 8%,SRC-PRICE-HOTEL,first-party poster,2026-08-24,VERIFIED,RETAIN
lumi pet địa chỉ,lumi pet địa chỉ,brand + address,NAVIGATIONAL,LOCAL_INFORMATIONAL,location,Lumi Pet address,Contact,NAP,,pet owners,get directions,Bình Thạnh,CONTACT,/mimi/lien-he/,contact,P0,First-party poster gives 27 Võ Trường Toản,SRC-NAP,first-party posters,2026-08-24,VERIFIED,RETAIN
lumi pet số điện thoại,lumi pet số điện thoại,brand + phone,NAVIGATIONAL,LOCAL_INFORMATIONAL,contact,Lumi Pet phone,Contact,phone,,pet owners,call business,Bình Thạnh,CONTACT,/mimi/lien-he/,contact,P0,First-party poster gives 0989 979 675,SRC-NAP,first-party posters,2026-08-24,VERIFIED,RETAIN
chó bị ngứa sau khi tắm,chó bị ngứa sau khi tắm,question dog itchy after bath,INFORMATIONAL,COMMERCIAL_RESEARCH,question,Dog post-bath itching,Dog Care,skin irritation after bathing,,dog owners,triage itching after bath,Bình Thạnh,DOG_CARE,/bai-viet/cho-bi-ngua-sau-khi-tam/,article,P1,Fresh veterinary sources support a distinct post-bath itching problem-solution intent; no search volume KD CPC rank or traffic metric claimed,PETMD-RASH-2026-09-02;PETMD-ITCH-2026-09-02;PETMD-CONTACT-2026-09-02,current veterinary guidance + content calendar,2026-09-02,VERIFIED,PUBLISHED
